Potential/V, Current/A
3.266,2.57E-06
3.267,2.58E-06
3.268,2.58E-06
3.269,2.62E-06
3.27,2.62E-06
3.271,2.64E-06
3.272,2.65E-06
3.273,2.66E-06
3.274,2.67E-06
3.275,2.69E-06
3.276,2.71E-06
3.277,2.72E-06
3.278,2.74E-06
3.279,2.77E-06
3.28,2.77E-06
3.281,2.77E-06
3.282,2.80E-06
3.283,2.80E-06
3.284,2.81E-06
3.285,2.83E-06
3.286,2.84E-06
3.287,2.84E-06
3.288,2.86E-06
3.289,2.86E-06
3.29,2.88E-06
3.291,2.87E-06
3.292,2.88E-06
3.293,2.89E-06
3.294,2.89E-06
3.295,2.89E-06
3.296,2.90E-06
3.297,2.92E-06
3.298,2.91E-06
3.299,2.90E-06
3.3,2.90E-06
3.301,2.90E-06
3.302,2.89E-06
3.303,2.90E-06
3.304,2.91E-06
3.305,2.89E-06
3.306,2.88E-06
3.307,2.89E-06
3.308,2.88E-06
3.309,2.88E-06
3.31,2.88E-06
3.311,2.87E-06
3.312,2.87E-06
3.313,2.83E-06
3.314,2.84E-06
3.315,2.82E-06
3.316,2.82E-06
3.317,2.81E-06
3.318,2.80E-06
3.319,2.79E-06
3.32,2.77E-06
3.321,2.75E-06
3.322,2.76E-06
3.323,2.74E-06
3.324,2.74E-06
3.325,2.73E-06
3.326,2.71E-06
3.327,2.70E-06
3.328,2.70E-06
3.329,2.67E-06
3.33,2.68E-06
3.331,2.64E-06
3.332,2.64E-06
3.333,2.63E-06
3.334,2.60E-06
3.335,2.60E-06
3.336,2.60E-06
3.337,2.57E-06
3.338,2.57E-06
3.339,2.57E-06
3.34,2.56E-06
3.341,2.55E-06
3.342,2.54E-06
3.343,2.52E-06
3.344,2.52E-06
3.345,2.49E-06
3.346,2.50E-06
3.347,2.47E-06
3.348,2.47E-06
3.349,2.47E-06
3.35,2.45E-06
3.351,2.44E-06
3.352,2.46E-06
3.353,2.45E-06
3.354,2.41E-06
3.355,2.43E-06
3.356,2.41E-06
3.357,2.40E-06
3.358,2.41E-06
3.359,2.39E-06
3.36,2.39E-06
3.361,2.38E-06
3.362,2.39E-06
3.363,2.38E-06
3.364,2.36E-06
3.365,2.39E-06
3.366,2.38E-06
3.367,2.36E-06
3.368,2.35E-06
3.369,2.36E-06
3.37,2.36E-06
3.371,2.35E-06
3.372,2.35E-06
3.373,2.36E-06
3.374,2.36E-06
3.375,2.35E-06
3.376,2.36E-06
3.377,2.36E-06
3.378,2.34E-06
3.379,2.36E-06
3.38,2.36E-06
3.381,2.36E-06
3.382,2.36E-06
3.383,2.36E-06
3.384,2.37E-06
3.385,2.36E-06
3.386,2.39E-06
3.387,2.38E-06
3.388,2.37E-06
3.389,2.38E-06
3.39,2.37E-06
3.391,2.37E-06
3.392,2.39E-06
3.393,2.40E-06
3.394,2.39E-06
3.395,2.38E-06
3.396,2.41E-06
3.397,2.43E-06
3.398,2.43E-06
3.399,2.44E-06
3.4,2.43E-06
3.401,2.45E-06
3.402,2.44E-06
3.403,2.47E-06
3.404,2.46E-06
3.405,2.48E-06
3.406,2.48E-06
3.407,2.49E-06
3.408,2.52E-06
3.409,2.52E-06
3.41,2.53E-06
3.411,2.52E-06
3.412,2.55E-06
3.413,2.56E-06
3.414,2.58E-06
3.415,2.58E-06
3.416,2.57E-06
3.417,2.60E-06
3.418,2.62E-06
3.419,2.62E-06
3.42,2.64E-06
3.421,2.64E-06
3.422,2.63E-06
3.423,2.67E-06
3.424,2.68E-06
3.425,2.67E-06
3.426,2.70E-06
3.427,2.71E-06
3.428,2.73E-06
3.429,2.72E-06
3.43,2.75E-06
3.431,2.75E-06
3.432,2.75E-06
3.433,2.74E-06
3.434,2.78E-06
3.435,2.79E-06
3.436,2.79E-06
3.437,2.80E-06
3.438,2.83E-06
3.439,2.84E-06
3.44,2.84E-06
3.441,2.84E-06
3.442,2.84E-06
3.443,2.88E-06
3.444,2.88E-06
3.445,2.90E-06
3.446,2.87E-06
3.447,2.91E-06
3.448,2.91E-06
3.449,2.91E-06
3.45,2.93E-06
3.451,2.94E-06
3.452,2.95E-06
3.453,2.96E-06
3.454,2.95E-06
3.455,2.97E-06
3.456,2.96E-06
3.457,2.97E-06
3.458,3.00E-06
3.459,2.99E-06
3.46,3.00E-06
3.461,3.00E-06
3.462,3.01E-06
3.463,3.02E-06
3.464,3.02E-06
3.465,3.02E-06
3.466,3.04E-06
3.467,3.03E-06
3.468,3.03E-06
3.469,3.03E-06
3.47,3.05E-06
3.471,3.05E-06
3.472,3.07E-06
3.473,3.05E-06
3.474,3.07E-06
3.475,3.06E-06
3.476,3.07E-06
3.477,3.08E-06
3.478,3.06E-06
3.479,3.08E-06
3.48,3.06E-06
3.481,3.07E-06
3.482,3.08E-06
3.483,3.09E-06
3.484,3.10E-06
3.485,3.09E-06
3.486,3.07E-06
3.487,3.09E-06
3.488,3.10E-06
3.489,3.09E-06
3.49,3.10E-06
3.491,3.10E-06
3.492,3.10E-06
3.493,3.10E-06
3.494,3.08E-06
3.495,3.09E-06
3.496,3.09E-06
3.497,3.08E-06
3.498,3.07E-06
3.499,3.08E-06
3.5,3.07E-06
3.501,3.09E-06
3.502,3.09E-06
3.503,3.07E-06
3.504,3.07E-06
3.505,3.08E-06
3.506,3.09E-06
3.507,3.08E-06
3.508,3.05E-06
3.509,3.08E-06
3.51,3.06E-06
3.511,3.07E-06
3.512,3.05E-06
3.513,3.07E-06
3.514,3.06E-06
3.515,3.06E-06
3.516,3.05E-06
3.517,3.07E-06
3.518,3.04E-06
3.519,3.06E-06
3.52,3.03E-06
3.521,3.05E-06
3.522,3.04E-06
3.523,3.05E-06
3.524,3.02E-06
3.525,3.05E-06
3.526,3.04E-06
3.527,3.03E-06
3.528,3.01E-06
3.529,3.03E-06
3.53,3.02E-06
3.531,3.02E-06
3.532,3.01E-06
3.533,3.01E-06
3.534,3.00E-06
3.535,3.00E-06
3.536,3.01E-06
3.537,2.99E-06
3.538,3.00E-06
3.539,2.98E-06
3.54,2.99E-06
3.541,2.99E-06
3.542,2.99E-06
3.543,2.98E-06
3.544,2.97E-06
3.545,2.98E-06
3.546,2.98E-06
3.547,2.96E-06
3.548,2.95E-06
3.549,2.95E-06
3.55,2.95E-06
3.551,2.95E-06
3.552,2.94E-06
3.553,2.95E-06
3.554,2.94E-06
3.555,2.92E-06
3.556,2.91E-06
3.557,2.91E-06
3.558,2.92E-06
3.559,2.91E-06
3.56,2.91E-06
3.561,2.92E-06
3.562,2.90E-06
3.563,2.90E-06
3.564,2.89E-06
3.565,2.90E-06
3.566,2.89E-06
3.567,2.89E-06
3.568,2.88E-06
3.569,2.88E-06
3.57,2.87E-06
3.571,2.87E-06
3.572,2.87E-06
3.573,2.86E-06
3.574,2.86E-06
3.575,2.85E-06
3.576,2.88E-06
3.577,2.87E-06
3.578,2.87E-06
3.579,2.87E-06
3.58,2.85E-06
3.581,2.84E-06
3.582,2.86E-06
3.583,2.86E-06
3.584,2.85E-06
3.585,2.83E-06
3.586,2.85E-06
3.587,2.83E-06
3.588,2.83E-06
3.589,2.84E-06
3.59,2.83E-06
3.591,2.83E-06
3.592,2.85E-06
3.593,2.84E-06
3.594,2.84E-06
3.595,2.85E-06
3.596,2.83E-06
3.597,2.82E-06
3.598,2.83E-06
3.599,2.82E-06
3.6,2.83E-06
3.601,2.85E-06
3.602,2.83E-06
3.603,2.85E-06
3.604,2.84E-06
3.605,2.83E-06
3.606,2.84E-06
3.607,2.84E-06
3.608,2.84E-06
